n,p,v,corpus
瞬間,へ,飛び立つ,ted
世界,を,説明する,ted
此れ,が,通用する,ted
音声,を,聞く,ted
バンク,で,起きる,ted
何,が,起きる,ted
実際,に,描き得る,ted
切っ掛け,に,なり得る,ted
次,に,話す,ted
宇宙,に,存在する,ted
意図,で,行く,ted
ミャンマー,に,行く,ted
そこ,に,行く,ted
本,を,書く,ted
結果,に,なる,ted
時,が,来る,ted
其れ,に,直面しない,ted
お金,を,払う,ted
個人差,が,ある,ted
価格,が,下がる,ted
会社,が,破産する,ted
値段,が,戻る,ted
場,に,いる,ted
こと,を,思う,ted
夢,が,ある,ted
老廃物,を,排出しない,ted
そこ,で,決める,ted
代わり,に,研究する,ted
研究所,で,研究する,ted
能力,が,ある,ted
ゲノム,が,機能する,ted
助け,に,なる,ted
状況,で,描写する,ted
物,に,描写する,ted
的,を,絞る,ted
力,を,引き出す,ted
明かり,を,つける,ted
手口,を,見付ける,ted
御辞儀,から,上げる,ted
頭,を,上げる,ted
目,に,掛かる,ted
どこ,に,おられる,ted
壁,に,直面する,ted
逆境,に,遭遇する,ted
此れ,が,繋がる,ted
進歩,に,繋がる,ted
こと,を,示す,ted
注目,を,浴びる,ted
後,に,起こる,ted
こと,が,運命づれられる,ted
証明,と,される,ted
反粒子,が,衝突する,ted
エネルギー,が,放出される,ted
方向,で,なる,ted
和,が,なる,ted
ゼロ,に,なる,ted
同時,に,ある,ted
人,に,なる,ted
教育,を,受ける,ted
画像,を,研究する,ted
ゲーム,で,遊ぶ,ted
餌,に,する,ted
高,を,減らす,ted
半分,に,減らす,ted
為,に,する,ted
価格,を,する,ted
倍,に,する,ted
こと,で,変えられない,ted
処遇,を,変えられない,ted
バー,で,出会う,ted
こと,に,気付く,ted
こと,で,なる,ted
ジェット,で,起きる,ted
其れ,を,買う,ted
常,に,目指す,ted
完璧,を,目指す,ted
ギフトショップ,で,働く,ted
墓,を,掘り出す,ted
ビッグバン,が,存在する,ted
後半,を,迎える,ted
最初,に,考える,ted
実際,に,行く,ted
其れ,を,行く,ted
都市,が,ある,ted
アメリカ,に,ある,ted
テスト,を,する,ted
死亡原因,で,失われる,ted
毎,に,失われる,ted
時間,に,失われる,ted
命,が,失われる,ted
メリット,を,ご理解頂く,ted
私達,が,追い求める,ted
年,で,変わる,ted
薬,を,する,ted
必要,と,する,ted
病気,が,現れる,ted
私達,に,ある,ted
人間,が,回収する,ted
タグ,を,回収する,ted
手間,を,省く,ted
初日,に,見付ける,ted
此れ,を,見付ける,ted
骨,を,見付ける,ted
此れ,が,考案する,ted
インターネット,から,得る,ted
アイデア,を,得る,ted
此れ,が,考案する,ted
インターネット,から,得る,ted
アイデア,を,得る,ted
意図,に,反する,ted
問題,を,引き起こす,ted
人々,に,与える,ted
力,を,与える,ted
原子,を,閉じ込める,ted
容器,に,閉じ込める,ted
意味,で,捉える,ted
死,を,捉える,ted
人々,が,行う,ted
健康管理,に,影響する,ted
翌日,に,記録する,ted
最高,を,記録する,ted
地点,が,分かる,ted
悪臭,を,解消しない,ted
決断,を,下す,ted
為,に,下す,ted
ジョージア,に,住む,ted
デンティスト,に,なる,ted
ポール,と,結婚する,ted
事,に,始める,ted
効率,が,向上する,ted
名,が,与えられる,ted
レバレッジ,を,積む,ted
人々,を,集める,ted
目的,を,持つ,ted
組織,に,集める,ted
マネージメント,を,任される,ted
貴方,が,想像する,ted
マウス,から,逃れる,ted
政党,が,言う,ted
票,を,実現する,ted
政治,を,実現する,ted
方々,が,反応する,ted
メディア,が,取り上げる,ted
ミナレット,を,取り上げる,ted
様子,を,見る,ted
誇り,に,思う,ted
そこ,で,強化する,ted
対策,を,強化する,ted
ドイツ,に,集まる,ted
取材陣,が,集まる,ted
時代遅れ,に,なる,ted
家,が,なる,ted
中心,と,なる,ted
外,で,行われる,ted
中心,と,なる,ted
物,に,なる,ted
物,に,なる,ted
持続可能性,から,生まれ,ted
アイデア,が,生まれ,ted
イノベーション,が,生まれる,ted
形,に,なる,ted
初め,に,感染される,ted
二人,が,感染される,ted
二人,が,感染させる,ted
二人,を,感染させる,ted
次,に,感染される,ted
人,と,増える,ted
カーブ,を,形成する,ted
関節,に,付く,ted
バイブレーター,が,付く,ted
ハンドル,を,回す,ted
大きさ,を,指示する,ted
ハッカー,を,する,ted
当局,と,衝突する,ted
人間,が,救う,ted
都市,を,救う,ted
中間,に,ある,ted
スキル,で,得られる,ted
収入,が,得られる,ted
経済,から,消える,ted
Google,に,入力する,ted
イタリア語,に,翻訳する,ted
Google,に,戻る,ted
為,に,言う,ted
訓練,を,受ける,ted
手,を,上げる,ted
手,を,上げる,ted
こと,を,する,ted
話,を,する,ted
虫,を,食べる,ted
こと,に,慣れる,ted
必要,が,ある,ted
%,が,使われる,ted
家畜,を,生産する,ted
ボリューム,を,上げる,ted
会社,を,作る,ted
経験,を,振り返る,ted
我々,が,持つ,ted
受刑者,と,持つ,ted
交流,を,持つ,ted
等,が,落ち着く,ted
こと,を,思い出す,ted
極性,が,ある,ted
マウス,から,取る,ted
ミルク,を,分泌する,ted
マウス,から,取る,ted
ミルク,を,分泌する,ted
リスト,に,乗る,ted
伝統,が,ある,ted
自主性,が,ある,ted
レベル,に,ある,ted
南部,に,ある,ted
物,を,決めない,ted
自分,で,決めない,ted
カーペット,を,開発する,ted
私,を,帰宅させる,ted
割合,を,代表する,ted
捕虜,に,なる,ted
切っ掛け,で,生まれる,ted
環境,を,越える,ted
発想,が,生まれる,ted
伝達,を,図る,ted
こと,を,観察する,ted
そこ,から,学び,ted
法,を,見出だす,ted
力,を,持つ,ted
山,を,下りる,ted
サイクロンナルギスミャンマー,を,襲う,ted
ストール,が,話す,ted
こと,を,話す,ted
此れ,から,お話しする,ted
概念,に,則する,ted
未来,が,訪れる,ted
形,で,訪れる,ted
代,に,活動する,ted
彼女,が,活動する,ted
スタジオ,で,活動する,ted
美,を,探求する,ted
遊び心,を,持つ,ted
子,を,取り入れる,ted
光,で,遊ぶ,ted
為,に,救わない,ted
原生林,を,救わない,ted
観光,に,出掛ける,ted
ポップアップ,を,付ける,ted
ウェブサービス,から,引っ張る,ted
コンテンツ,を,引っ張る,ted
要約,を,張り付ける,ted
付き,で,張り付ける,ted
物,を,見る,ted
此れ,が,据える,ted
個人,を,据える,ted
中心,に,据える,ted
進化,を,記述する,ted
教科書,を,見る,ted
習性,を,する,ted
基,に,する,ted
祖先,が,取る,ted
行動,を,取る,ted
内容,が,書かれる,ted
習性,を,する,ted
基,に,する,ted
祖先,が,取る,ted
行動,を,取る,ted
内容,が,書かれる,ted
前,に,回収される,ted
スーパー,から,回収される,ted
トルティーヤ,が,回収される,ted
前,に,回収される,ted
スーパー,から,回収される,ted
トルティーヤ,が,回収される,ted
呆気,に,とられる,ted
アイザック,が,知る,ted
スペル,を,知る,ted
そこ,で,聞く,ted
息子,に,聞く,ted
パズル,を,解く,ted
例,を,お見せする,ted
はち,に,与える,ted
栄養,を,与える,ted
物,に,戻す,ted
はち,に,与える,ted
栄養,を,与える,ted
物,に,戻す,ted
はち,に,与える,ted
栄養,を,与える,ted
物,に,戻す,ted
部屋,を,選ぶ,ted
現地,で,受ける,ted
子供,が,受ける,ted
切っ掛け,に,なる,ted
話,に,なる,ted
私,が,打つ,ted
活動,を,手伝う,ted
さん,に,手伝う,ted
チーム,が,作る,ted
原理,に,則る,ted
環境,を,持つ,ted
学生,が,学ぶ,ted
此処,で,学ぶ,ted
共,に,学ぶ,ted
デバイス,が,組み込まれる,ted
衣服,に,組み込まれる,ted
用,に,点灯する,ted
赤信号,が,点灯する,ted
そこ,で,お話したい,ted
体験,から,お話したい,ted
要素,を,お話したい,ted
c,と,呼ぶ,ted
御陰,で,戻る,ted
心,から,戻る,ted
頼り,に,する,ted
心,に,戻る,ted
ステージ,に,招く,ted
最初,に,記述する,ted
年,に,示す,ted
こと,を,示す,ted
論理,を,実現したい,ted
心,を,動かされる,ted
NaNO,で,作る,ted
魚,を,作る,ted
物,が,見付かる,ted
経済,に,なる,ted
こと,が,起きる,ted
学校,で,学ぶ,ted
生物学,を,学ぶ,ted
葉緑体,が,作る,ted
酸素,を,作る,ted
日光,を,受ける,ted
時,と,知る,ted
此処,から,学ぶ,ted
何,が,学ぶ,ted
着地,に,掛かる,ted
人,に,再考させる,ted
面,を,強調する,ted
後,に,退院する,ted
前,に,立てる,ted
目標,を,立てる,ted
外,へ,出る,ted
訓練,を,受ける,ted
人生,を,立て直す,ted
システム,が,与えない,ted
匿名性,を,与えない,ted
身,に,降り懸かる,ted
秘密,が,ある,ted
達,を,見る,ted
虱,が,集る,ted
染み,が,付く,ted
番,が,遣る,ted
ステージ,に,上がる,ted
演奏,を,始める,ted
歌詞,を,歌う,ted
口,を,開ける,ted
ビブラート,が,掛かる,ted
声,が,出る,ted
時,に,震える,ted
何,が,起きる,ted
本当,に,理解する,ted
アクセンチュア,が,見捨てる,ted
ウッズ,を,見捨てる,ted
実,に,なる,ted
御陰,で,つける,ted
身,に,つける,ted
こと,が,分かる,ted
基礎,を,築く,ted
教師,に,教える,ted
魔法,を,教える,ted
フレームワーク,へ,適合する,ted
ロサンゼルス,に,行く,ted
節目,に,当たる,ted
時間,に,及ぶ,ted
フライト,を,過ごす,ted
一緒,に,過ごす,ted
女神,に,匹敵する,ted
時点,で,切り離す,ted
シェル,から,切り離す,ted
落下,に,入る,ted
市民,を,する,ted
標的,に,する,ted
武器,を,持たず,ted
過激派,に,抵抗する,ted
支援,を,する,ted
必要,と,する,ted
集団,に,入る,ted
副作用,が,出る,ted
成長,を,促す,ted
必要,が,ある,ted
等,が,移動しない,ted
場所,に,移動しない,ted
相手,が,持つ,ted
規定,を,作る,ted
其れ,を,宣伝する,ted
内,で,行われる,ted
仕事,が,行われる,ted
為,に,行動する,ted
論文,から,生まれる,ted
トップレベル,に,いる,ted
人々,に,求める,ted
世界,を,変え得る,ted
説明,を,求める,ted
状況,に,陥る,ted
殆ど,が,あるそう,ted
比較,に,あるそう,ted
代わり,に,する,ted
比較,を,する,ted
間違い,を,起こす,ted
重さ,を,持つ,ted
作品,で,変える,ted
身体,を,変える,ted
集合,に,変える,ted
互い,に,繋がり,ted
場所,で,与える,ted
体験,を,与える,ted
生涯,を,見る,ted
達,が,回る,ted
ノブ,に,掛ける,ted
冷暖房,を,切る,ted
ファン,を,つける,ted
メッセージ,を,掛ける,ted
大勢,が,呉れる,ted
電話,を,呉れる,ted
私達,が,食べる,ted
サンドイッチ,から,作る,ted
スパイス,を,形作る,ted
ク,を,巻く,ted
葉,で,巻く,ted
ラベル,を,真似る,ted
ラベル,を,張る,ted
灰皿,に,入れる,ted
実,を,噛む,ted
検察,に,出来る,ted
可能性,を,認識する,ted
為,に,別れない,ted
恋人,に,告げる,ted
こと,が,ある,ted
木の実,を,割る,ted
実際,に,起きる,ted
技術,が,連れ戻す,ted
私達,を,連れ戻す,ted
過去,に,連れ戻す,ted
犯罪,に,関与する,ted
其れ,を,お見せする,ted
此れ,から,お見せする,ted
共,に,受ける,ted
訓練,を,受ける,ted
データ,を,検証する,ted
消費,に,比べる,ted
トレードオフ,で,得る,ted
利害,を,得る,ted
判断,に,関与する,ted
単語,を,入れる,ted
辞書,に,入れる,ted
必要,が,なくなる,ted
言語,を,表す,ted
働き,を,見る,ted
求人,を,始める,ted
任務,に,送られる,ted
食べ物,が,与える,ted
特権,を,与える,ted
食べ物,を,食する事,ted
食べ物,を,得る,ted
製品,が,持つ,ted
重要性,を,持つ,ted
世界中,に,広める,ted
必要,が,ある,ted
大企業,が,なる,ted
主体,に,なる,ted
バーバー,が,生産する,ted
方法,で,生産する,ted
フォアグラ,を,生産する,ted
話,を,する,ted
中,で,育てる,ted
鵞鳥,を,育てる,ted
生産,を,実行する,ted
世界中,で,いる,ted
国,から,逃れられず,ted
人,が,いる,ted
等,を,救う,ted
差,を,なくす,ted
計画,を,示す,ted
者,が,証明する,ted
哲学者,が,夢見る,ted
常,に,夢見る,ted
こと,を,証明する,ted
調査,で,分かる,ted
第二子,を,作る,ted
施設,を,爆破させる,ted
スーパーコンピューター,から,得られる,ted
解答,を,得られる,ted
参加費,を,落とす,ted
経費,で,落とす,ted
傍ら,で,演奏する,ted
お金,を,もうける,ted
前,に,起こる,ted
自己,を,決める,ted
ベッド,が,入る,ted
手,に,入る,ted
為,に,悩む,ted
化,が,進む,ted
地面,に,いる,ted
人,が,いる,ted
ストレス,を,取り除く,ted
世界,を,想像する,ted
人々,が,目指す,ted
ライフスタイル,を,目指す,ted
其れ,に,着る,ted
此処,に,いられる,ted
こと,を,喜ぶ,ted
重点,が,おかれる,ted
常,に,関連づけられる,ted
忍耐,を,学ぶ,ted
友好,を,学ぶ,ted
はち,を,する,ted
方法,を,研究する,ted
手法,で,導き出す,ted
毎,に,洗い出す,ted
言葉,を,使う,ted
会話,を,洗い出す,ted
広告,を,受け取る,ted
成果,を,出す,ted
同意,を,得る,ted
動態,が,ある,ted
学校,に,通う,ted
こと,が,ある,ted
うち,に,変わる,ted
至る所,で,見られる,ted
議論,を,する,ted
耳,に,する,ted
怒り,を,感じる,ted
友人,が,いる,ted
テスト,を,見る,ted
分野,が,成長する,ted
とも,に,登場する,ted
ロボット,を,着ける,ted
人,が,着ける,ted
身,に,着ける,ted
こと,で,運ぶ,ted
重さ,を,運ぶ,ted
車椅子,を,使う,ted
人,が,歩く,ted
可能性,を,開花させる,ted
ORG,に,来る,ted
辺り,を,見る,ted
物,が,見える,ted
代,に,建設される,ted
worldchanging,で,見つけ出す,ted
多く,に,共通する,ted
特性,が,ある,ted
理解,と,言う,ted
義足,を,つける,ted
訓練,を,行う,ted
ストーリー,を,語る,ted
こと,で,理解する,ted
一人一人,が,理解する,ted
遣り方,で,理解する,ted
宇宙,を,理解する,ted
娘,が,聞く,ted
肉体,を,取り戻す,ted
温度,に,達する,ted
例,を,お見せする,ted
人,が,入る,ted
部屋,に,入る,ted
夜目,を,覚まさず,ted
窓,に,かける,ted
家,が,見える,ted
復興,を,後押しする,ted
ルール,を,採用する,ted
鈍化,を,招く,ted
中国,を,孤立させる,ted
世界,で,孤立させる,ted
活動,で,生産される,ted
温暖化,を,起こす,ted
そこ,に,研究する,ted
脳,を,研究する,ted
中,で,放出される,ted
物質,が,放出される,ted
思考,を,させる,ted
中,を,見る,ted
運動,が,始まる,ted
年,で,変化する,ted
彼,が,発見する,ted
ストレス,に,対処する,ted
感情,で,対処する,ted
ストレス,が,軽減する,ted
状況,を,改善する,ted
一緒,に,改善する,ted
ミーム,が,掲載される,ted
上,で,生まれる,ted
トレンド,が,生まれる,ted
修正,を,加える,ted
物,を,コントロール出来る,ted
幻影,を,作る,ted
こと,を,目指す,ted
技術,を,開発する,ted
キャンペーン,で,大活躍する,ted
活用,に,取り組む,ted
共,に,開発する,ted
生産,を,請け負ってない,ted
達,が,生かす,ted
発見,を,生かす,ted
学,に,生かす,ted
ハイキング,に,行く,ted
靴屋,が,訊かない,ted
サイズ,を,訊かない,ted
方,が,聞かれる,ted
時,に,みなされる,ted
社会,で,生きる,ted
不適合,と,みなされる,ted
再生紙,を,使用する,ted
目,に,見える,ted
世界,を,変えたい,ted
変化,を,起こす,ted
設備,を,リバースエンジニアリングする,ted
前,から,知られる,ted
ニューロン,と,言う,ted
こと,に,ある,ted
族,が,守る,ted
こと,で,する,ted
走り,を,する,ted
親しみ,が,もてる,ted
漢字,で,表す,ted
仕様,が,記述される,ted
言語,で,記述される,ted
腐敗,が,ある,ted
多く,が,破壊される,ted
側面,を,扱い,ted
矛盾,を,受け入れる,ted
ゼロ,を,発見する,ted
疾患,を,探る,ted
診断,を,する,ted
常,に,渡り歩く,ted
一緒,に,渡り歩く,ted
アパート,を,渡り歩く,ted
下,で,感じる,ted
頭脳,が,なる,ted
繋がり,を,感じる,ted
中,で,かける,ted
現場,が,ある,ted
表面,で,舗装し直す,ted
膝,を,舗装し直す,ted
足,が,ある,ted
羽根,が,ある,ted
触角,が,ある,ted
裁判,が,控える,ted
必要,が,ある,ted
惑星,に,残される,ted
生物,を,救う,ted
此れ,を,狙う,ted
地域,を,広げる,ted
人々,を,招待する,ted
粘菌,が,出来る,ted
こと,を,出来る,ted
特性,を,調べられる,ted
粘菌,に,探索させる,ted
場,を,デザインする,ted
コンドーム,を,する,ted
手,に,する,ted
こと,を,考える,ted
能力,を,使う,ted
状況,に,立ち向かう,ted
パターン,に,なりそう,ted
パターン,に,なる,ted
地球,が,動く,ted
シリウス,を,見る,ted
田舎,に,いる,ted
田舎暮らし,を,する,ted
月,に,或る,ted
星,を,見る,ted
星,が,見える,ted
常,に,ある,ted
状態,が,ある,ted
部屋,に,いる,ted
人権,が,ある,ted
場所,で,生まれ育つ,ted
事務所,が,再デザインする,ted
事実,が,ある,ted
私,が,する,ted
祈り,を,する,ted
口,に,する,ted
取り引き,が,出来る,ted
分析,を,行う,ted
材料,を,作る,ted
手,で,作る,ted
私達,が,懸念する,ted
離婚,を,望む,ted
骨膜,に,つける,ted
目,を,つける,ted
下,に,注入する,ted
液体,を,注入する,ted
方法,を,開発する,ted
内,で,なる,ted
ゲル,に,なる,ted
骨,から,持ち上げる事,ted
骨膜,を,持ち上げる事,ted
地,が,見付かる,ted
専門家,が,語る,ted
彼れ,が,出来る,ted
此れ,が,出来る,ted
此れ,が,起きる,ted
主張,を,聞く,ted
さん,が,いる,ted
空港,に,いる,ted
音声,を,使う,ted
ウェブサイト,を,読む,ted
時,に,使う,ted
充電,が,完了する,ted
箱,から,出す,ted
製品,を,使う,ted
君,に,出来ない,ted
統治,を,変化させる,ted
興味,を,失わず,ted
こと,が,分かる,ted
実際,に,生成される,ted
硫酸,を,作り出す,ted
状態,で,生息する,ted
幸せ,が,生み出される,ted
形,で,ある,ted
選挙,が,ある,ted
ワクチン,を,作る,ted
数週間,で,作る,ted
法,に,なる,ted
こと,が,起こる,ted
写真,に,写る,ted
髭,を,生やす,ted
私,と,集中する,ted
演奏,に,集中する,ted
キナーゼ,と,呼ばれる,ted
蛋白質,に,ありそう,ted
関係,が,ありそう,ted
思考,に,陥る,ted
自分,が,住む,ted
脂肪,を,控える,ted
カロリー,を,控えられる,ted
石油,が,なる,ted
ドル,に,なる,ted
其れ,に,対処出来る,ted
大人,に,なり切る,ted
若者,が,虐待される,ted
上,で,虐待される,ted
こと,に,いる,ted
実際,に,選ぶ,ted
死,を,選ぶ,ted
達,を,愛する,ted
同時,に,食べる,ted
必要,が,ある,ted
文書,を,改ざんする,ted
私,が,見付ける,ted
ヒストリー,に,出来る,ted
我々,が,直面する,ted
本質,を,示す,ted
com,に,アクセスする,ted
声,を,聞く,ted
途上国,に,いる,ted
達,を,助け出す,ted
貧困,から,助け出す,ted
エネルギー,を,消費する,ted
番組,が,とまる,ted
目,に,とまる,ted
具,を,纏う,ted
身,に,纏う,ted
人々,が,薪割りする,ted
火,を,撮し続ける,ted
番組,を,圧倒する,ted
ペンキ,が,ペンキ,ted
曲,を,作る,ted
席,で,聞く,ted
理由,で,いる,ted
刑務所,に,いる,ted
こと,を,聞く,ted
此処,で,させる,ted
質問,を,させる,ted
遺伝子,を,受け継ぐ,ted
目,が,なる,ted
赤色,に,なる,ted
ガーナ,で,入る,ted
交渉,に,入る,ted
時間,を,知りたい,ted
時,を,告げる,ted
物,を,つける,ted
身,に,つける,ted
必要,が,ある,ted
名士,と,過ごす,ted
年齢,を,重ねる,ted
銀河,が,ある,ted
星,が,ある,ted
幻覚,に,困る,ted
目,を,する,ted
顔,が,見える,ted
鶏卵,が,適する,ted
芸術品,を,選ぶ,ted
大衆,が,学ぶ,ted
物語,を,学ぶ,ted
環境,を,作る,ted
そこ,に,配置する,ted
作品,を,配置する,ted
哲学,が,生きる,ted
行き先,に,向かう,ted
此処,に,足止めされる,ted
セッション,で,講演する,ted
疑問,を,投げ掛ける,ted
全て,が,二分割される,ted
分裂,が,対応する,ted
枝分かれ,に,対応する,ted
大陸,に,逃げ出す,ted
影響,を,受けず,ted
側,で,生き残る,ted
違い,が,生じる,ted
番目,に,言う,ted
放出,を,経験する,ted
身体,が,適応する,ted
等,に,共通する,ted
私達,が,する,ted
目,に,する,ted
期待感,で,色付けされる,ted
全て,に,当て嵌まる,ted
アートディレクター,に,なる,ted
刑務所,から,出る,ted
人,を,巻き込む,ted
人,を,繋ぐ,ted
情熱,を,持つ,ted
此処,に,ある,ted
未来,が,ある,ted
村,に,戻る,ted
前,に,立ち尽くす,ted
そこ,に,立ち尽くす,ted
人々,が,生活する,ted
教師,と,なる,ted
危険,が,伴う,ted
草稿,を,書き終える,ted
仲間,に,回す,ted
感想,を,聞く,ted
反応,を,受ける,ted
紛争,が,なる,ted
問題,と,なる,ted
作品,が,回る,ted
世界中,を,回る,ted
世,に,出る,ted
私達,が,直面する,ted
問題,を,考える,ted
こと,を,思う,ted
事柄,が,信じられる,ted
裏付け,と,なる,ted
機知,に,富む,ted
眼鏡,を,装備する,ted
拡大,に,立ち向かう,ted
こと,を,妨げる,ted
矛盾,を,する,ted
状況,に,ある,ted
直感,に,反する,ted
手段,が,食い止める,ted
拡大,を,食い止める,ted
こと,が,証明される,ted
死角,で,出来る,ted
どこ,に,ある,ted
支援,を,始める,ted
浜,に,出掛ける,ted
散歩,に,出掛ける,ted
上,に,巻き上げる,ted
網,を,巻き上げる,ted
漁師,を,する,ted
目,に,する,ted
注意,を,払う,ted
生徒,を,見付ける,ted
生徒,を,呼ぶ,ted
黒板,に,書かせる,ted
答え,を,書かせる,ted
信頼,を,築く,ted
必要,が,ある,ted
個々,に,独立する,ted
線,で,描かれる,ted
こと,を,お伝えする,ted
分間,で,お伝えする,ted
楽器,を,開発する,ted
こと,から,着手する,ted
我々,が,名付ける,ted
向き,に,開発される,ted
センサー,が,組み込まれる,ted
楽器,が,演奏される,ted
魂,が,行く,ted
長,を,通す,ted
牧草,が,ある,ted
どこ,に,ある,ted
どこ,に,行く,ted
上,に,存在する,ted
角,に,ある,ted
側壁,を,上がる,ted
建築物,に,溶け込む,ted
フレンド,に,なる,ted
其れ,が,合う,ted
石油,を,買う,ted
必要,が,なくなる,ted
結果,を,する,ted
手,に,する,ted
達,に,相談する,ted
病気,に,なる,ted
治療,に,役立つ,ted
私達,が,する,ted
目,に,する,ted
追跡,が,行われる,ted
規模,で,行われる,ted
地域,に,精通する,ted
低所得者,を,考えず,ted
生活,に,関わる,ted
決定,を,下す,ted
解決策,を,提供する,ted
起業家,に,投資される,ted
公開,に,なる,ted
公益,を,目指す,ted
研究,に,没頭する,ted
人間,が,描かれる,ted
月,が,描かれる,ted
手,に,渡る,ted
MRI,と,呼ばれる,ted
装置,に,通す,ted
女性,を,通す,ted
そこ,で,与える,ted
等,に,与える,ted
ストレス,を,与える,ted
互い,を,見る,ted
コンサートマスター,が,揃う,ted
全員,が,揃う,ted
間,で,広がる,ted
沿岸,を,行く,ted
旅,を,見続ける,ted
アルゴリズム,が,出る,ted
此処,で,出る,ted
トランザクション,に,分割する,ted
必要,が,ある,ted
ニューヨーク,に,暮らす,ted
写真,を,上げる,ted
ネット,に,上げる,ted
分,で,付く,ted
コメント,が,付く,ted
穴,に,突き込む,ted
話,を,信じられず,ted
方,が,いる,ted
私,が,講演する,ted
前,に,講演する,ted
TED,で,講演する,ted
他方,で,見る,ted
達,を,見る,ted
物,を,持つ,ted
方,が,いる,ted
お尻,に,ぶら下がる,ted
爆弾,に,注意する,ted
職場,で,できない,ted
仕事,が,できない,ted
瞬間,に,抱える,ted
物,を,抱える,ted
企業,が,起こす,ted
革新,を,起こす,ted
収穫,で,相殺されない,ted
リスク,を,冒す,ted
ゴーグル,を,取る,ted
こと,を,利用する,ted
感染力,を,持つ,ted
母,を,持つ,ted
物語,を,展開する,ted
彼女,に,会う,ted
自信,を,持つ,ted
世界,を,する,ted
達,を,する,ted
目,に,する,ted
自信,を,持つ,ted
世界,を,する,ted
達,を,する,ted
目,に,する,ted
両端,が,する,ted
キス,を,する,ted
アイデア,が,入る,ted
気,に,入る,ted
側面,を,落とし込む,ted
構造,に,落とし込む,ted
全て,を,協同する,ted
中,で,出会う,ted
人々,が,出会う,ted
環,に,収める,ted
福音,を,理解する,ted
形,に,しない,ted
葉,を,裂く,ted
物,を,取り出す,ted
其れ,を,転がす,ted
手,で,転がす,ted
糸,に,する,ted
ひも,を,編む,ted
一緒,に,編む,ted
形,が,作り上げられる,ted
うち,に,作り上げられる,ted
前,で,作り上げられる,ted
型,に,嵌まる,ted
現実,が,ほどけ始める,ted
中,で,ほどけ始める,ted
そこ,で,注目する,ted
過去形,に,注目する,ted
恩,に,報いる,ted
時,が,来る,ted
全員,に,関わる,ted
ツール,を,使わせる,ted
此処,に,ある,ted
機会,が,ある,ted
数学,に,反対する,ted
ターニングポイント,に,いる,ted
世界中,に,広がる,ted
相似,を,生み出す,ted
違い,を,探す,ted
溜め息,が,出る,ted
違い,に,気付く,ted
疑問,が,生じる,ted
石炭,に,戻る,ted
作業,を,熟す,ted
支持,を,得る,ted
事実,が,後押しする,ted
国民投票,を,後押しする,ted
物,と,考える,ted
責任,に,基づく,ted
集団,へ,及ぼす,ted
影響,を,及ぼす,ted
力,が,ある,ted
壁,に,ぶつかる,ted
其れ,を,乗り越える,ted
方法,を,探す,ted
世界,を,理解したい,ted
私達,が,感じる,ted
何,を,感じる,ted
何,を,求める,ted
